Place,Name,Time
1,Godfrey A.Berger,1:41:16
2,Dave Merkt,1:43:54
3,Scott Livingston,1:53:03
4,Mike Reed,1:53:03
5,Chris Kelly,2:00:19
6,Clint Morse,2:08:47
7,“Jack”,2:10:42
8,Kristina Marie Folcik,2:10:43
9,Ryan Welts,2:10:43
10,Vincent Zito,2:13:59
11,Eric Hale,2:15:08
12,Dave Sutherland,2:15:45
13,Adam Lung,2:19:07
14,Casey Callahan,2:22:13
15,Hector Morera,2:22:39
16,Fred Pilon,2:34:16
17,Tom Dyer,2:40:48
18,Gary Hebert,2:41:02
19,Jane Patterson,2:41:47
20,Mike McDonnell,2:42:23
21,Alison Cleary,2:42:45
22,Regina McGillivray,2:42:50
23,Bekkie Wright,2:51:50
24,Collette ?,3:01:50
25,Bruce Marvonek,3:17:03
26,“Nipmuck” Dave,3:30:09